Date,Open,High,Low,Close,Adj Close,Volume,SMA_10,SMA_30,SMA_50,SMA15,STDEV,LowerBand,UpperBand,Date,RolHigh,RolLow,stok,K,D,GD
2019-11-12,201.02999877929688,207.11000061035156,196.33999633789062,198.00999450683594,194.211669921875,4132200,,,,,,,,18212.0,,,,,,207.11000061035156
2019-11-13,195.67999267578125,201.2100067138672,194.55999755859375,198.07000732421875,194.27053833007812,1513300,,,,,,,,18213.0,,,,,,201.2100067138672
2019-11-14,198.3300018310547,199.89999389648438,197.0800018310547,198.75,194.93748474121094,1211200,,,,,,,,18214.0,,,,,,199.89999389648438
2019-11-15,199.60000610351562,200.8800048828125,198.3300018310547,200.27000427246094,196.42831420898438,825900,,,,,,,,18215.0,,,,,,200.8800048828125
2019-11-18,199.41000366210938,200.0,196.89999389648438,197.6699981689453,193.87820434570312,1156200,,,,,,,,18218.0,,,,,,200.0
2019-11-19,195.97000122070312,198.5399932861328,195.36000061035156,196.6699981689453,192.89736938476562,738800,,,,,,,,18219.0,,,,,,198.5399932861328
2019-11-20,196.22999572753906,197.75999450683594,194.77999877929688,196.2100067138672,192.44622802734375,1123700,,,,,,,,18220.0,,,,,,197.75999450683594
2019-11-21,195.47999572753906,196.66000366210938,194.52000427246094,195.2100067138672,191.46539306640625,936200,,,,,,,,18221.0,,,,,,196.66000366210938
2019-11-22,196.24000549316406,196.5399932861328,194.10000610351562,194.8000030517578,191.063232421875,631500,,,,,,,,18222.0,,,,,,196.5399932861328
2019-11-25,195.05999755859375,197.4199981689453,194.3699951171875,195.72000122070312,191.96559143066406,914400,193.3564025878906,,,,,,,18225.0,207.11000061035156,194.10000610351562,-16.405961368623647,,,197.4199981689453
2019-11-26,195.1699981689453,196.47999572753906,193.97999572753906,196.32000732421875,192.55409240722656,902600,193.19064483642578,,,,,,,18226.0,201.2100067138672,193.97999572753906,-19.72200765681917,,,196.47999572753906
2019-11-27,197.67999267578125,197.67999267578125,195.27000427246094,196.4199981689453,192.6521759033203,659500,193.02880859375,,,,,,,18227.0,200.8800048828125,193.97999572753906,-19.243740034807686,,,197.67999267578125
2019-11-29,196.27000427246094,197.3000030517578,194.8300018310547,195.83999633789062,192.08331298828125,330800,192.74339141845704,,,,,,,18229.0,200.8800048828125,193.97999572753906,-27.48811916877304,-20.714957057255887,,197.3000030517578
2019-12-02,196.67999267578125,198.6199951171875,193.77000427246094,193.97000122070312,190.24917602539062,592100,192.12547760009767,,,,,,,18232.0,200.0,193.77000427246094,-56.51413582046051,-30.7420006702151,,198.6199951171875
2019-12-03,191.13999938964844,194.8300018310547,190.2100067138672,194.0399932861328,190.3178253173828,966500,191.76943969726562,,,192.7613739013672,1.7304254675853097,189.30052296619658,196.2222248365378,18233.0,198.6199951171875,190.2100067138672,1.2820303470698913,-25.49099116924284,,194.8300018310547
2019-12-04,194.6199951171875,197.55999755859375,194.55999755859375,195.00999450683594,191.26919555664062,911100,191.60662231445312,,,192.5652089436849,1.721030411663367,189.12314812035817,196.00726976701162,18234.0,198.6199951171875,190.2100067138672,12.594415021491153,-17.531452405168125,-23.619850325470487,197.55999755859375
2019-12-05,196.02000427246094,196.64999389648438,195.32000732421875,196.42999267578125,192.6619873046875,543600,191.6281982421875,,,192.45797220865884,1.6560702509503582,189.14583170675812,195.77011271055957,18235.0,198.6199951171875,190.2100067138672,29.155576360274836,-3.3705285229061577,-19.283743191883055,196.64999389648438
2019-12-06,199.05999755859375,199.7100067138672,197.86000061035156,198.17999267578125,194.37840270996094,635800,191.91949920654298,,,192.4207000732422,1.6016775624154138,189.21734494841135,195.62405519807302,18236.0,199.7100067138672,190.2100067138672,43.87785259046053,21.7274685798241,-6.1663758793732555,199.7100067138672
2019-12-09,198.24000549316406,200.30999755859375,198.24000549316406,198.75999450683594,194.94728088378906,891700,192.3079040527344,,,192.32196451822918,1.3651688299332143,189.59162685836276,195.0523021780956,18239.0,200.30999755859375,190.2100067138672,46.903747169189906,33.1328977853541,8.48959635927598,200.30999755859375
2019-12-10,198.3699951171875,200.72999572753906,197.33999633789062,199.75,195.9182891845703,641500,192.703173828125,,,192.45797017415364,1.6108074441002458,189.23635528595315,195.67958506235414,18240.0,200.72999572753906,190.2100067138672,54.261296882388265,43.54961825057838,23.759864023212607,200.72999572753906
2019-12-11,201.10000610351562,203.57000732421875,200.25,203.25999450683594,199.3609619140625,720300,193.38386077880858,,,192.88887634277344,2.4053338068047037,188.07820872916403,197.69954395638285,18241.0,203.57000732421875,190.2100067138672,68.49517052495486,53.38451679174839,37.948625351876245,203.57000732421875
2019-12-12,202.86000061035156,205.69000244140625,201.5,205.47000122070312,201.52857971191406,828900,194.27150115966796,,,193.49436645507814,3.2727019499436727,186.9489625551908,200.03977035496547,18242.0,205.69000244140625,190.2100067138672,73.1174168085268,60.69440784626496,47.690360168486464,205.69000244140625
2019-12-13,205.6199951171875,206.9499969482422,202.17999267578125,203.47000122070312,199.56692504882812,938500,195.01986236572264,,,194.0344685872396,3.5690302095088917,186.8964081682218,201.17252900625738,18243.0,206.9499969482422,190.2100067138672,55.89560211180306,62.94237158191825,55.1427286176275,206.9499969482422
