Date,Open,High,Low,Close,Adj Close,Volume,SMA_10,SMA_30,SMA_50,SMA15,STDEV,LowerBand,UpperBand,BarsDate
2019-11-12,6.03000020980835,6.070000171661377,5.869999885559082,5.920000076293945,5.920000076293945,1834500,,,,,,,,18212.0
2019-11-13,5.909999847412109,5.96999979019165,5.809999942779541,5.940000057220459,5.940000057220459,1533600,,,,,,,,18213.0
2019-11-14,5.949999809265137,6.110000133514404,5.900000095367432,5.980000019073486,5.980000019073486,1708700,,,,,,,,18214.0
2019-11-15,6.0,6.010000228881836,5.849999904632568,5.880000114440918,5.880000114440918,2165900,,,,,,,,18215.0
2019-11-18,5.849999904632568,5.849999904632568,5.610000133514404,5.619999885559082,5.619999885559082,2995900,,,,,,,,18218.0
2019-11-19,5.570000171661377,5.659999847412109,5.449999809265137,5.5,5.5,3360500,,,,,,,,18219.0
2019-11-20,5.539999961853027,5.539999961853027,5.360000133514404,5.460000038146973,5.460000038146973,2666700,,,,,,,,18220.0
2019-11-21,5.460000038146973,5.579999923706055,5.349999904632568,5.5,5.5,2784000,,,,,,,,18221.0
2019-11-22,5.590000152587891,5.849999904632568,5.5,5.659999847412109,5.659999847412109,3493100,,,,,,,,18222.0
2019-11-25,5.670000076293945,6.059999942779541,5.630000114440918,6.03000020980835,6.03000020980835,2744900,5.749000024795532,,,,,,,18225.0
2019-11-26,6.03000020980835,6.260000228881836,6.010000228881836,6.099999904632568,6.099999904632568,2648700,5.767000007629394,,,,,,,18226.0
2019-11-27,6.099999904632568,6.389999866485596,6.019999980926514,6.349999904632568,6.349999904632568,3030000,5.807999992370606,,,,,,,18227.0
2019-11-29,6.329999923706055,6.389999866485596,6.239999771118164,6.340000152587891,6.340000152587891,1369000,5.844000005722046,,,,,,,18229.0
2019-12-02,6.349999904632568,6.460000038146973,6.090000152587891,6.170000076293945,6.170000076293945,2060600,5.873000001907348,,,,,,,18232.0
2019-12-03,6.039999961853027,6.179999828338623,5.929999828338623,6.119999885559082,6.119999885559082,2214900,5.923000001907349,,,5.904666678110758,0.2966929024729084,5.311280873164941,6.498052483056576,18233.0
2019-12-04,6.170000076293945,6.489999771118164,6.119999885559082,6.429999828338623,6.429999828338623,2872400,6.015999984741211,,,5.938666661580403,0.32631856912473767,5.286029523330928,6.591303799829879,18234.0
2019-12-05,6.320000171661377,6.519999980926514,6.239999771118164,6.400000095367432,6.400000095367432,4381400,6.1099999904632565,,,5.969333330790202,0.347387536781749,5.274558257226704,6.6641084043537,18235.0
2019-12-06,6.389999866485596,6.679999828338623,6.389999866485596,6.679999828338623,6.679999828338623,4757300,6.227999973297119,,,6.015999984741211,0.39295218298633183,5.230095618768548,6.801904350713874,18236.0
2019-12-09,6.650000095367432,6.920000076293945,6.190000057220459,6.329999923706055,6.329999923706055,6250600,6.294999980926514,,,6.0459999720255535,0.3989593482678626,5.248081275489828,6.843918668561279,18239.0
2019-12-10,6.289999961853027,6.539999961853027,6.119999885559082,6.510000228881836,6.510000228881836,9594900,6.342999982833862,,,6.10533332824707,0.3972560634500892,5.310821201346892,6.899845455147249,18240.0
2019-12-11,5.25,5.809999942779541,5.179999828338623,5.53000020980835,5.53000020980835,19517800,6.28600001335144,,,6.107333342234294,0.3940533935283181,5.319226555177658,6.89544012929093,18241.0
